statement,source,link,veracity,text,class
"""Faced with $1 million in campaign debt,"" Scott Walker ""is unloading his campaign security costs onto the backs of Wisconsin taxpayers.""",Katrina Shankland,/web/20180119172032/http://www.politifact.com/wisconsin/statements/2016/feb/05/katrina-shankland/heavy-presidential-campaign-ious-scott-walker-fois/,Mostly False, face 1 million campaign debt scott walker unload campaign security cost back wisconsin taxpayer ,0
"Says Bernie Sanders advocated putting ""Iranian troops into Syria to try and resolve the conflict there. Putting them right on the doorstep of Israel.""",Hillary Clinton,/web/20180119172032/http://www.politifact.com/truth-o-meter/statements/2016/feb/05/hillary-clinton/clinton-says-sanders-proposed-iranian-troops-syria/,Mostly True,say bernie sander advocate put iranian troop syria try resolve conflict put right doorstep israel ,1
"Says a Sanders campaign ad ""never said ... a newspaper endorsed us that did not.""",Bernie Sanders,/web/20180119172032/http://www.politifact.com/truth-o-meter/statements/2016/feb/04/bernie-s/bernie-sanders-mistaken-about-whether-his-campaign/,False,say sander campaign ad say newspaper endorse ,0
"Arizona is spending ""less on a per-capita basis than every single state in this country in higher education.""",Michael M.  Crow,/web/20180119172032/http://www.politifact.com/arizona/statements/2016/feb/04/michael-m-crow/arizona-worst-higher-education-funding/,Mostly True,arizona spend capita basis single state country high education ,1
"China is ""practicing how to blow up our satellites.""",Marco Rubio,/web/20180119172032/http://www.politifact.com/truth-o-meter/statements/2016/feb/04/marco-rubio/marco-rubio-says-china-practicing-how-blow-our-sat/,True,china practice blow satellite ,1
Says he was endorsed by the Valley News newspaper.,Bernie Sanders,/web/20180119172032/http://www.politifact.com/new-hampshire/statements/2016/feb/04/bernie-s/bernie-sanders-ad-claims-endorsements-valley-news-/,False,say endorse   valley news newspaper,0
"""We've cut taxes 50 times and look what has happened to our revenues. They've grown.""",Rick Scott,/web/20180119172032/http://www.politifact.com/florida/statements/2016/feb/04/rick-scott/scott-credits-tax-cuts-floridas-growing-tax-revenu/,Mostly True, ve cut taxis 50 time look happen revenue ve grow ,1
"""90 percent of all pain medications are prescribed in the United States.""",Jeb Bush,/web/20180119172032/http://www.politifact.com/new-hampshire/statements/2016/feb/04/jeb-bush/jeb-bush-says-americans-consume-vast-majority-addi/,Mostly True, 90 percent pain medication prescribe united states ,1
"""I am the only candidate that has endorsed Bernie Sanders for President. In PA, I've got Bernie's back.""",John Fetterman,/web/20180119172032/http://www.politifact.com/pennsylvania/statements/2016/feb/04/john-fetterman/fetterman-says-he-only-senate-candidate-backing-sa/,True, candidate endorse bernie sander president pa ve get bernie s ,1
"""I’ll be running against a career politician.""",Ron Johnson,/web/20180119172032/http://www.politifact.com/wisconsin/statements/2016/feb/04/ron-johnson/sen-ron-johnson-claims-russ-feingold-career-politi/,Mostly True, run career politician ,1
"""Nothing was done. I mean, $25 million was spent, but we don’t have that (gun ownership) database.""",Loretta Sanchez,/web/20180119172032/http://www.politifact.com/california/statements/2016/feb/04/loretta-sanchez/sanchez-makes-pants-fire-claim-about-california-gu/,Pants on Fire!, mean 25 million spend gun ownership   database ,0
"""During eight years under Ronald Reagan, African-American median income rose by about $5,000.""",Ted Cruz,/web/20180119172032/http://www.politifact.com/truth-o-meter/statements/2016/feb/03/ted-cruz/ted-cruz-says-median-african-american-family-was-5/,Mostly False, year ronald reagan african american median income rise 5 000 ,0
"The 2013 immigration bill ""expanded President Obama’s ability to bring Syrian refugees to this country without mandating any meaningful background checks.""",Ted Cruz,/web/20180119172032/http://www.politifact.com/truth-o-meter/statements/2016/feb/03/ted-cruz/cruz-repeats-false-attack-about-gang-8-bill-allowi/,False,2013 immigration bill expand president obama ability bring syrian refugee country mandate meaningful background check ,0
"Says Catherine Cortez Masto ""was happy to line her own pockets with taxpayer dollars when state employees were slammed with frozen salaries.""",National Republican Senatorial Committee,/web/20180119172032/http://www.politifact.com/nevada/statements/2016/feb/03/national-republican-senatorial-committee/gop-attacks-cortez-masto-pay-raise-issue/,Mostly False,say catherine cortez masto happy line pocket taxpayer dollar state employee slam frozen salary ,0
"As part of legislative fights over abortion rights, ""Mike Coffman co-sponsored a bill to redefine rape.""",EMILY's List,/web/20180119172032/http://www.politifact.com/colorado/statements/2016/feb/02/emilys-list/emilys-list-attacks-coffman-forcible-rape-and-abor/,Mostly True,legislative fight abortion right   mike coffman co sponsor bill redefine rape ,1
"The debt ""comes up all the time in town meetings ... but it's never asked in the debates. It's really weird. It hasn't been brought up.""",Jeb Bush,/web/20180119172032/http://www.politifact.com/truth-o-meter/statements/2016/feb/02/jeb-bush/jeb-bush-wrong-claim-national-debt-never-debate-to/,False,debt come time town meeting s ask debate s weird hasn t bring ,0
"""This is the true picture of ‘Milwaukee's Renaissance’ after 12 years of Mayor Tom Barrett's leadership.""",Bob Donovan,/web/20180119172035/http://www.politifact.com/wisconsin/statements/2016/feb/02/bob-donovan/truly-picture-milwaukees-renaissance-under-mayor-t/,Pants on Fire!, true picture ' milwaukee s renaissance ' 12 year mayor tom barrett s leadership ,0
"""You've been tremendously deceived"" by people who say the Earth is not flat.",B.o.B.,/web/20180119172035/http://www.politifact.com/punditfact/statements/2016/feb/01/bob/bob-duels-with-neil-degrasse-tyson/,Pants on Fire!, ve tremendously deceive people earth flat,0
"""More businesses are closing than opening in Virginia today.""",Ed  Gillespie,/web/20180119172035/http://www.politifact.com/virginia/statements/2016/feb/01/ed-gillespie/gillespie-says-more-businesses-are-closing-opening/,False, business close open virginia today ,0
"""Between 1990 and 2013, the maternal mortality rate for women in the U.S. has increased by 136%.""",Sheila Jackson Lee,/web/20180119172035/http://www.politifact.com/texas/statements/2016/feb/01/sheila-jackson-lee/rep-sheila-jackson-lee-says-maternal-mortality-rat/,Mostly False, 1990 2013 maternal mortality rate woman u s increase 136 ,0
"""A (state) trooper with 10 years on the force is getting $500 a year more than a trooper with 10 minutes on the force.""",Thomas Garrett Jr.,/web/20180119172035/http://www.politifact.com/virginia/statements/2016/feb/01/thomas-garrett-jr/tom-garrett-amiss-virginia-state-trooper-pay/,False, state trooper 10 year force get 500 year trooper 10 minute force ,0
"""Donald Trump and Hillary Clinton and Bernie Sanders have the identical position on health care, which is they want to put the government in charge of you and your doctor.""",Ted Cruz,/web/20180119172035/http://www.politifact.com/truth-o-meter/statements/2016/jan/31/ted-cruz/ted-cruzs-false-claim-trump-clinton-and-sanders-ha/,False, donald trump hillary clinton bernie sander identical position health care want government charge doctor ,0
"""We have more illegal immigrants here"" than we did five years ago.",Marco Rubio,/web/20180119172035/http://www.politifact.com/truth-o-meter/statements/2016/jan/31/marco-rubio/marco-rubio-incorrectly-says-illegal-immigrant-pop/,False, illegal immigrant year ago,0
"""It is rare that a retirement grade determination is conducted for an officer previously retired from the U.S. armed forces.""",Jack Reed,/web/20180119172035/http://www.politifact.com/rhode-island/statements/2016/jan/31/jack-reed/reed-and-mccain-make-case-save-gen-petraeus-pensio/,True, rare retirement grade determination conduct officer previously retire u s armed force ,1
"""Texas is growing twice as fast as the rest of the country.""",Joe Straus,/web/20180119172035/http://www.politifact.com/texas/statements/2016/jan/30/joe-straus/joe-straus-accurately-says-texas-growing-twice-fas/,True, texas grow twice fast rest country ,1
"""Today Russia holds many of our most precious national security satellites at risk before they ever get off the ground.""",John McCain,/web/20180119172035/http://www.politifact.com/arizona/statements/2016/jan/29/john-mccain/john-mccain-right-about-american-reliance-russian-/,Mostly True, today russia hold precious national security satellite risk ground ,1
"""We now have more jobs in solar than we do in oil.""",Hillary Clinton,/web/20180119172035/http://www.politifact.com/new-hampshire/statements/2016/jan/29/hillary-clinton/hillary-clinton-claims-more-jobs-solar-oil/,False, job solar oil ,0
"Obamacare ""is the biggest job-killer in this country -- millions of Americans have lost their jobs, have been forced into part-time work.""",Ted Cruz,/web/20180119172035/http://www.politifact.com/truth-o-meter/statements/2016/jan/29/ted-cruz/ted-cruzs-pants-fire-claim-health-care-law-nations/,Pants on Fire!,obamacare big job killer country million americans lose job force time work ,0
"""I have never supported cap and trade.""",Marco Rubio,/web/20180119172035/http://www.politifact.com/florida/statements/2016/jan/29/marco-rubio/rubio-says-he-has-never-supported-cap-and-trade-de/,Mostly True, support cap trade ,1
"When a Gallup poll asked about presidential candidate characteristics, ""When they get to the question on, 'Would you vote for a socialist,' it is even less popular than voting for atheists.""",Jennifer Granholm,/web/20180119172035/http://www.politifact.com/punditfact/statements/2016/jan/29/jennifer-granholm/jennifer-granholm-says-americans-would-rather-elec/,True,gallup poll ask presidential candidate characteristic question vote socialist popular vote atheist ,1
"""I never once asked that (Megyn Kelly) be removed"" as a debate moderator.",Donald Trump,/web/20180119172035/http://www.politifact.com/truth-o-meter/statements/2016/jan/29/donald-trump/donald-trump-falsely-claims-he-never-once-asked-me/,False, ask megyn kelly remove debate moderator,0
"""Last year, there were an additional 81,000 pages of government regulations. If you stack that up, it would be a three-story building.""",Ben Carson,/web/20180119172035/http://www.politifact.com/truth-o-meter/statements/2016/jan/29/ben-carson/ben-carson-stacked-total-pages-regulations-2015-ar/,Mostly False, year additional 81 000 page government regulation stack story building ,0
"""A third of the budget for the city of Ferguson (Missouri) was being reaped by civil fines.""",Rand Paul,/web/20180119172038/http://www.politifact.com/truth-o-meter/statements/2016/jan/28/rand-paul/budgets-ferguson-mo-dont-support-rand-pauls-claim-/,Mostly False, budget city ferguson missouri reap civil fine ,0
"Neighbors of the San Bernardino shooters ""knew that they were talking about trying to take our country and attack it.""",Chris Christie,/web/20180119172038/http://www.politifact.com/truth-o-meter/statements/2016/jan/28/chris-christie/christie-says-neighbors-san-bernardino-shooters-kn/,False,neighbor san bernardino shooter know talk try country attack ,0
"""I have not insulted Donald personally.""",Ted Cruz,/web/20180119172038/http://www.politifact.com/truth-o-meter/statements/2016/jan/28/ted-cruz/ted-cruz-said-he-never-insulted-donald-trump-recor/,Mostly False, insult donald personally ,0
"""Barack Obama, right now, No. 1, over seven years has dramatically degraded our military.""",Ted Cruz,/web/20180119172038/http://www.politifact.com/truth-o-meter/statements/2016/jan/28/ted-cruz/ted-cruz-says-barack-obama-has-dramatically-degrad/,Mostly False, barack obama right 1 seven year dramatically degrade military ,0
"""I am the only candidate on either side who has laid out a specific plan about what I would do to defeat ISIS.""",Hillary Clinton,/web/20180119172038/http://www.politifact.com/truth-o-meter/statements/2016/jan/27/hillary-clinton/hillary-clinton-wrong-say-shes-only-candidate-lay-/,False, candidate lay specific plan defeat isis ,0
"""A lot of student loans are already refinanced by the federal government.""",Dale Kooyenga,/web/20180119172038/http://www.politifact.com/wisconsin/statements/2016/jan/27/dale-kooyenga/gop-wisconsin-lawmaker-says-federal-government-ref/,False, lot student loan refinance federal government ,0
Says Mexico can afford to build a wall because the country's trade deficit with America is billions of dollars.,Donald Trump,/web/20180119172038/http://www.politifact.com/florida/statements/2016/jan/26/donald-trump/donald-trump-says-course-mexico-can-pay-wall-becau/,False,say mexico afford build wall country s trade deficit america billion dollar,0
"Under Ted Cruz’s tax plan, ""businesses will now have to pay 16 percent on the money they make. They will also have to pay 16 percent on the money they pay their employees.""",Marco Rubio,/web/20180119172038/http://www.politifact.com/texas/statements/2016/jan/26/marco-rubio/marco-rubio-says-ted-cruz-flat-tax-charges-16-perc/,Mostly True,ted cruz tax plan business pay 16 percent money pay 16 percent money pay employee ,1
Says his views on reparations for slavery are the same as Barack Obama's and Hillary Clinton's.,Bernie Sanders,/web/20180119172038/http://www.politifact.com/truth-o-meter/statements/2016/jan/26/bernie-s/reparations-for-slavery-sanders-obama-clinton/,Mostly True,say view reparation slavery barack obama s hillary clinton s,1
"""Since John F. Kennedy was assassinated in 1963, more Americans have died by gunfire within our own country than American servicemen and women who were killed in all our wars.""",Virginia Center for Public Safety,/web/20180119172038/http://www.politifact.com/virginia/statements/2016/jan/26/virginia-center-public-safety/gun-control-group-says-more-americans-have-died-fi/,True, john f kennedy assassinate 1963 americans die gunfire country american serviceman woman kill war ,1
"""Anyone can die of a toothache.""",John Cortes,/web/20180119172038/http://www.politifact.com/florida/statements/2016/jan/26/john-cortes/ignoring-toothache-really-could-potentially-kill-y/,True, die toothache ,1
"""Almost all of the polls that have come out suggest that I am a much stronger candidate against the Republicans than is Hillary Clinton.""",Bernie Sanders,/web/20180119172038/http://www.politifact.com/truth-o-meter/statements/2016/jan/26/bernie-s/bernie-sanders-says-he-polls-better-against-gop-ca/,False, poll come suggest strong candidate republicans hillary clinton ,0
"""In 40 years of broadcast, I have never endorsed any candidate.""",Glenn Beck,/web/20180119172038/http://www.politifact.com/texas/statements/2016/jan/26/glenn-beck/glenn-beck-says-ted-cruz-hed-never-endorsed-candid/,True, 40 year broadcast endorse candidate ,1
"""Fifty years ago, the average GM employee could pay for a year of a son or daughter’s college tuition on just two weeks wages.""",Martin O'Malley,/web/20180119172038/http://www.politifact.com/truth-o-meter/statements/2016/jan/25/martin-omalley/could-gm-worker-afford-college-tuition-just-two-we/,Mostly True, year ago average gm employee pay year son daughter college tuition week wage ,1
"Martin Luther King Jr. ""was a Republican.""",Philip Van Cleave,/web/20180119172038/http://www.politifact.com/virginia/statements/2016/jan/25/philip-van-cleave/van-cleave-wongly-says-martin-luther-king-jr-was-r/,False,martin luther king jr republican ,0
"""Two million new jobs have been created,"" in California since 2011.",Jerry Brown,/web/20180119172038/http://www.politifact.com/california/statements/2016/jan/25/jerry-brown/brown-speaks-truth-about-californias-job-growth/,True, million new job create california 2011,1
"Says Donald Trump ""thinks that climate change is a hoax, invented by the Chinese.""",Bernie Sanders,/web/20180119172039/http://www.politifact.com/truth-o-meter/statements/2016/jan/24/bernie-s/yes-donald-trump-really-did-tweet-climate-change-h/,Mostly True,say donald trump think climate change hoax invent chinese ,1
Texas has the sixth-highest property taxes in the nation.,Jeff Judson,/web/20180119172039/http://www.politifact.com/texas/statements/2016/jan/22/jeff-judson/texas-has-sixth-highest-property-taxes-nation/,Mostly True,texas sixth high property taxis nation,1
"""Blue Cross Blue Shield cancelled all their individual (health care) policies in the state of Texas, effective Dec. 31.""",Ted Cruz,/web/20180119172039/http://www.politifact.com/texas/statements/2016/jan/22/ted-cruz/ted-cruz-ridiculously-says-blue-cross-blue-shield-/,Pants on Fire!, blue cross blue shield cancel individual health care policy state texas effective dec 31 ,0
"""According to the most recent report, Wisconsin’s high school graduation rates are also up again -- to third best in the country.""",Scott Walker,/web/20180119172039/http://www.politifact.com/wisconsin/statements/2016/jan/22/scott-walker/scott-walker-says-wisconsins-high-school-graduatio/,Mostly True, accord recent report wisconsin high school graduation rate good country ,1
"Under Barack Obama, ""the fewest number of adults are working since Jimmy Carter’s presidency.""",Roger Williams,/web/20180119172039/http://www.politifact.com/texas/statements/2016/jan/22/roger-williams/roger-williams-falsely-says-fewest-number-adults-w/,False,barack obama few number adult work jimmy carter presidency ,0
"""Donald Trump is appealing as much to Democrats as he is to Republicans.""",Mike  Rogers,/web/20180119172039/http://www.politifact.com/punditfact/statements/2016/jan/21/mike-rogers/mike-rogers-says-trump-appeals-democrats-much-repu/,Pants on Fire!, donald trump appeal democrat republicans ,0
"China has ""total control, just about, of North Korea.""",Donald Trump,/web/20180119172039/http://www.politifact.com/truth-o-meter/statements/2016/jan/21/donald-trump/donald-trump-exaggerates-when-he-says-china-has-to/,Mostly False,china total control north korea ,0
"""I have a D-minus voting record from the NRA.""",Bernie Sanders,/web/20180119172039/http://www.politifact.com/truth-o-meter/statements/2016/jan/20/bernie-s/bernie-sanders-nra-report-card-d-minus-most-recent/,Mostly True, d minus voting record nra ,1
"The United States has a ""record number of abortions year after year after year.""",Carly Fiorina,/web/20180119172039/http://www.politifact.com/truth-o-meter/statements/2016/jan/20/carly-fiorina/carly-fiorina-incorrect-us-has-record-number-abort/,False,united states record number abortion year year year ,0
"Says the Democratic Party created a debate schedule ""to maximize the opportunity for voters to see our candidates.""",Debbie Wasserman Schultz,/web/20180119172039/http://www.politifact.com/florida/statements/2016/jan/20/debbie-wasserman-schultz/democratic-debates-maximize-exposure-debbie-wasser/,False,say democratic party create   debate schedule maximize opportunity voter candidate ,0
"""Every piece of legislation, just about, that I ever introduced (in the U.S. Senate) had a Republican co-sponsor.""",Hillary Clinton,/web/20180119172039/http://www.politifact.com/truth-o-meter/statements/2016/jan/20/hillary-clinton/spot-check-hillary-clintons-senate-record-immolate/,False, piece legislation introduce u s senate republican co sponsor ,0
"Says his much-discussed boots are ""made in Wisconsin.""",Marco Rubio,/web/20180119172039/http://www.politifact.com/florida/statements/2016/jan/19/marco-rubio/rubios-infamous-boots-were-made-india-not-wisconsi/,Pants on Fire!,say discuss boot wisconsin ,0
"""Today, if you were raised poor, you’re just as likely to stay poor as you were 50 years ago.""",Paul Ryan,/web/20180119172039/http://www.politifact.com/truth-o-meter/statements/2016/jan/19/paul-ryan/paul-ryan-says-if-you-were-raised-poor-youre-just-/,True, today raise poor likely stay poor 50 year ago ,1
"More than 100,000 women in Texas ""have attempted to self-induce abortion in the past year alone.""",Tarina Keene,/web/20180119172039/http://www.politifact.com/virginia/statements/2016/jan/19/tarina-keene/virginia-naral-head-errs-self-induced-abortions-te/,False,100 000 woman texas attempt self induce abortion past year ,0
"""Very little of (the defense) budget — less than 10 percent — actually goes into fighting ISIS and international terrorism.""",Bernie Sanders,/web/20180119172039/http://www.politifact.com/truth-o-meter/statements/2016/jan/18/bernie-s/less-10-percent-defense-budget-fighting-terrorism-/,Mostly False, little defense budget — 10 percent — actually go fight isis international terrorism ,0
"""I helped write"" the Affordable Care Act.",Bernie Sanders,/web/20180119172039/http://www.politifact.com/truth-o-meter/statements/2016/jan/18/bernie-s/fact-checking-bernie-sanders-claim-he-helped-write/,Mostly False, help write affordable care act,0
"""We now have driven (health care) costs down to the lowest they've been in 50 years.""",Hillary Clinton,/web/20180119172039/http://www.politifact.com/truth-o-meter/statements/2016/jan/18/hillary-clinton/hillary-clinton-we-now-have-driven-costs-down-tgo-/,False, drive health care cost low ve 50 year ,0
"Says Virginia Del. Mark Cole ""wants schools to check children’s genitals before using bathroom.""",Occupy Democrats,/web/20180119172039/http://www.politifact.com/virginia/statements/2016/jan/18/occupy-democrats/occupy-democrats-grossly-twists-virginia-school-ba/,False,say virginia del mark cole want school check child genital bathroom ,0
"Says Bernie Sanders ""voted for what we call the 'Charleston Loophole.'""",Hillary Clinton,/web/20180119172041/http://www.politifact.com/truth-o-meter/statements/2016/jan/17/hillary-clinton/fact-checking-hillary-clintons-claim-bernie-sander/,Mostly True,say   bernie sanders vote charleston loophole ,1
"Says Bernie Sanders ""has reversed his position on immunity"" for gun manufacturers and sellers.",Hillary Clinton,/web/20180119172041/http://www.politifact.com/truth-o-meter/statements/2016/jan/17/hillary-clinton/fact-checking-gun-manufacturer-liability-bernie/,True,say   bernie sanders reverse position immunity gun manufacturer seller,1
"Hostages were released as soon as Ronald Reagan took office because Iran perceived that America was ""no longer under the command of someone weak.""",Marco Rubio,/web/20180119172041/http://www.politifact.com/truth-o-meter/statements/2016/jan/17/marco-rubio/rubio-wrongly-credits-reagan-1981-release-hostages/,Pants on Fire!,hostage release soon ronald reagan take office iran perceive america long command weak ,0
"Boston is just 60 minutes away and it’s offering subsidies to developers who can charge higher rent than you can get in Providence while construction costs are more or less equal. As a result, the Boston skyline ""is completely dominated by the cranes.""",David Sweetser,/web/20180119172041/http://www.politifact.com/rhode-island/statements/2016/jan/17/david-sweetser/superman-developer-why-he-needs-subsidies/,True,boston 60 minute away offer subsidy developer charge high rent providence construction cost equal result boston skyline completely dominate crane ,1
"""In Houston, Texas, today, there are no homeless veterans.""",Jeb Bush,/web/20180119172041/http://www.politifact.com/texas/statements/2016/jan/15/jeb-bush/jeb-bush-says-there-are-no-homeless-veterans-houst/,Mostly False, houston texas today homeless veteran ,0
"Wisconsin dropped ""from second in the country to 41st"" among states where more than half the students took the ACT exam.",Democratic Party of Wisconsin,/web/20180119172041/http://www.politifact.com/wisconsin/statements/2016/jan/15/state-democratic-party-wisconsin/blaming-scott-walker-democrats-say-wisconsins-rank/,Pants on Fire!,wisconsin drop second country 41st state half student take act exam,0
"""California Senator, Democratic Senator Dianne Feinstein said if she could say to Mr. America and Mrs. America, 'Give me your guns, I'm rounding 'em up,' she would.""",Ted Cruz,/web/20180119172041/http://www.politifact.com/california/statements/2016/jan/15/ted-cruz/ted-cruz-misfires-feinstein-gun-claim/,False, california senator democratic senator dianne feinstein say mr america mrs america gun m round em ,0
"Says Sen. Ted Cruz used to be ""in favor of birthright citizenship"" but is now against it.",Marco Rubio,/web/20180119172041/http://www.politifact.com/truth-o-meter/statements/2016/jan/15/marco-rubio/rubio-mischaracterizes-cruzs-statement-birthright-/,Mostly False,say sen ted cruz favor birthright citizenship ,0
"Says Marco Rubio ""knows full well I voted for his amendment to increase military spending to $697 billion.""",Ted Cruz,/web/20180119172041/http://www.politifact.com/truth-o-meter/statements/2016/jan/15/ted-cruz/gop-debate-cruz-says-he-voted-rubio-defense-spendi/,True,say marco rubio know vote amendment increase military spending 697 billion ,1
"""I didn’t support Sonia Sotomayor.""",Chris Christie,/web/20180119172041/http://www.politifact.com/truth-o-meter/statements/2016/jan/15/chris-christie/marco-rubio-says-chris-christie-supported-sonia-so/,False, support sonia sotomayor ,0
"""We have the lowest percentage of Americans working today of any year since 1977.""",Ted Cruz,/web/20180119172041/http://www.politifact.com/truth-o-meter/statements/2016/jan/14/ted-cruz/ted-cruz-says-us-has-lowest-percentage-americans-w/,Mostly True, low percentage americans work today year 1977 ,1
"Among Syrian refugees and migrants coming into Europe, ""there look like very few women. Very few children.""",Donald Trump,/web/20180119172041/http://www.politifact.com/truth-o-meter/statements/2016/jan/14/donald-trump/donald-trumps-false-claim-refugees-migrants-are-mo/,False,syrian refugee migrant come europe look like woman child ,0
"""The United States of America, right now, has the strongest, most durable economy in the world.""",Barack Obama,/web/20180119172041/http://www.politifact.com/truth-o-meter/statements/2016/jan/14/barack-obama/barack-obama-says-us-has-strongest-most-durable-ec/,Mostly True, united states america right strong durable economy world ,1
"Says Chris Christie ""instituted an Internet sales tax.""",Conservative Solutions PAC,/web/20180119172041/http://www.politifact.com/truth-o-meter/statements/2016/jan/14/conservative-solutions-pac/marco-rubio-superpac-says-chris-christie-imposed-i/,Mostly False,say chris christie institute internet sale tax ,0
"Says Bernie Sanders’ health care plan would ""empower Republican governors to take away Medicaid, to take away health insurance for low-income and middle-income working Americans.""",Chelsea Clinton,/web/20180119172041/http://www.politifact.com/truth-o-meter/statements/2016/jan/14/chelsea-clinton/chelsea-clinton-mischaracterizes-bernie-sanders-he/,Mostly False,say bernie sanders ’ health care plan empower republican   governor away medicaid   away health insurance low income middle income work americans ,0
"Until the new Iran deal, China and Russia ""have never voted with us at the U.N. on any sanctions on Iran in the past.""",Nancy  Pelosi,/web/20180119172041/http://www.politifact.com/truth-o-meter/statements/2016/jan/13/nancy-pelosi/nancy-pelosi-until-iran-deal-russian-and-china-had/,Pants on Fire!,new iran deal china russia vote u n sanction iran past ,0
"""We spend more on our military than the next eight nations combined.""",Barack Obama,/web/20180119172043/http://www.politifact.com/truth-o-meter/statements/2016/jan/13/barack-obama/obama-us-spends-more-military-next-8-nations-combi/,Mostly True, spend military nation combine ,1
"The economy is ""too weak to raise income levels.""",Nikki Haley,/web/20180119172043/http://www.politifact.com/truth-o-meter/statements/2016/jan/12/nikki-haley/economy-too-weak-raise-incomes-nikki-haley-state-u/,Mostly True,economy weak raise income level ,1
"""Our businesses have created jobs every single month since (Obamacare) became law.""",Barack Obama,/web/20180119172043/http://www.politifact.com/truth-o-meter/statements/2016/jan/12/barack-obama/business-has-created-jobs-every-month-obamacare-be/,True, business create job single month obamacare law ,1
"We have cut ""our deficits by almost three-quarters.""",Barack Obama,/web/20180119172043/http://www.politifact.com/truth-o-meter/statements/2016/jan/12/barack-obama/we-have-cut-our-deficits-three-fourths-obama-state/,Mostly True,cut deficit quarter ,1
"Medicaid expansion ""could cost the Commonwealth of Virginia over $1 billion a year...""",Steven Landes,/web/20180119172043/http://www.politifact.com/virginia/statements/2016/jan/11/steven-landes/landes-says-medicaid-expansion-could-cost-virginia/,False,medicaid expansion cost commonwealth virginia 1 billion year ,0
"""We are taking Virginia’s investment in public education to the highest level in the commonwealth’s history.""",Terry McAuliffe,/web/20180119172043/http://www.politifact.com/virginia/statements/2016/jan/11/terry-mcauliffe/mcauliffes-claim-record-school-budget-dubious/,Mostly False, take virginia investment public education high level commonwealth history ,0
"""We get practically nothing compared to the cost of"" keeping U.S. military forces in South Korea.",Donald Trump,/web/20180119172043/http://www.politifact.com/truth-o-meter/statements/2016/jan/10/donald-trump/donald-trump-mostly-wrong-we-get-practically-nothi/,Mostly False, practically compare cost keep u s military force south korea,0
"The five Guantanamo detainees swapped for Bowe Bergdahl are ""back on the battlefield.""",Donald Trump,/web/20180119172043/http://www.politifact.com/truth-o-meter/statements/2016/jan/10/donald-trump/donald-trump-repeats-wrong-claim-prisoners-swapped/,False,guantanamo detainee swap bowe bergdahl battlefield ,0
"""Let’s start with the premise that Rhode Island already has one of the 10 strictest [gun laws] amongst all the states.""",Nicholas Mattiello,/web/20180119172043/http://www.politifact.com/rhode-island/statements/2016/jan/10/nicholas-mattiello/ri-among-states-strongest-gun-control-laws/,True, let start premise rhode island 10 strictest gun law state ,1
"Under Scott Walker, Wisconsin ""moved from 16th to third in percentage of people with student loan debt.""",Scot Ross,/web/20180119172043/http://www.politifact.com/wisconsin/statements/2016/jan/08/scot-ross/activist-claims-wisconsin-moved-16th-third-percent/,Mostly False,scott walker wisconsin move 16th percentage people student loan debt ,0
"""When we held recent economic dialogues with China, we agreed on over 100 different things  —  including wildlife trafficking and volcano research. None of these 100-plus points of agreement addressed cybersecurity.""",Carly Fiorina,/web/20180119172043/http://www.politifact.com/truth-o-meter/statements/2016/jan/07/carly-fiorina/carly-fiorina-says-us-didnt-address-cybersecurity-/,Mostly False, hold recent economic dialogue china agree 100 different thing   —   include wildlife trafficking volcano research 100 plus point agreement address cybersecurity ,0
"""Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.""",Hillary Clinton,/web/20180119172043/http://www.politifact.com/truth-o-meter/statements/2016/jan/07/hillary-clinton/hillary-clintons-syrian-air-strikes-claim-against-/,Mostly True, marco rubio vote authorize president obama strike syria assad chemical weapon people ,1
"Canadian-born Ted Cruz ""has had a double passport.""",Donald Trump,/web/20180119172043/http://www.politifact.com/texas/statements/2016/jan/06/donald-trump/donald-trump-incorrectly-says-ted-cruz-has-had-dou/,False,canadian bear ted cruz double passport ,0
"""A violent felon can buy (a gun) over the Internet with no background check, no questions asked.""",Barack Obama,/web/20180119172043/http://www.politifact.com/truth-o-meter/statements/2016/jan/05/barack-obama/obama-violent-felons-can-buy-guns-online-without-b/,Mostly True, violent felon buy gun internet background check question ask ,1
"""The 90 percent statistic of supporting background checks, that's been debunked.""",Laura Ingraham,/web/20180119172043/http://www.politifact.com/punditfact/statements/2016/jan/05/laura-ingraham/laura-ingraham-say-claim-90-support-gun-background/,False, 90 percent statistic   support background check s debunk ,0
"A Trump television ad shows Mexicans swarming over ""our southern border.""",Donald Trump,/web/20180119172043/http://www.politifact.com/truth-o-meter/statements/2016/jan/04/donald-trump/donald-trumps-first-tv-ad-shows-migrants-southern-/,Pants on Fire!,trump television ad show mexican swarm southern border ,0
"""Everywhere that we have more citizens carrying guns, crime is less. There's a study showing that where states have open carry or concealed carry, but particularly open carry, the crime is down 25 percent.""",Dan Patrick,/web/20180119172045/http://www.politifact.com/truth-o-meter/statements/2016/jan/03/dan-patrick/texas-lt-gov-dan-patrick-claims-states-where-peopl/,Mostly False, citizen carry gun crime s study show state open carry conceal carry particularly open carry crime 25 percent ,0
